iter	RMSE
131	3680.575321
132	3675.849789
133	3668.794589
134	3659.036799
135	3653.030139
136	3648.536432
137	3642.314328
138	3640.420805
139	3637.424292
140	3634.204559
141	3630.711076
142	3627.437223
143	3623.564674
144	3615.674224
145	3615.219318
146	3606.585386
147	3601.458764
148	3593.316088
149	3585.86871
150	3576.521477
151	3573.434397
152	3569.367611
153	3559.575209
154	3552.143693
155	3548.425903
156	3539.787655
157	3535.997526
158	3530.603338
159	3527.307286
160	3520.602329
161	3517.408565
162	3516.335075
163	3511.591395
164	3504.01067
165	3500.987751
166	3494.010466
167	3490.680458
168	3486.111533
169	3478.958249
170	3472.018759
171	3469.592354
172	3466.730553
173	3463.942471
174	3459.257319
175	3456.330819
176	3450.087663
177	3445.369072
178	3445.149188
179	3438.279216
180	3431.709605
181	3426.313781
182	3421.05014
183	3416.158216
184	3411.956228
185	3408.740307
186	3405.118126
187	3401.540942
188	3399.201872
189	3396.247204
190	3392.784437
191	3390.23106
192	3388.302697
193	3383.421882
194	3381.020973
195	3376.001331
196	3369.605513
197	3366.630316
198	3362.000331
199	3359.574971
200	3350.723067
201	3345.692221
202	3340.941574
203	3337.916329
204	3333.727164
205	3330.60001
206	3327.660158
207	3321.036387
208	3315.582269
209	3312.700591
210	3309.20093
211	3303.496807
212	3299.573842
213	3295.97276
214	3290.973451
215	3288.146374
216	3285.021355
217	3282.4664
218	3278.768322
219	3276.992208
220	3275.853955
221	3272.00661
222	3269.802324
223	3266.9778
224	3263.948493
225	3256.137091
226	3251.624466
227	3249.182999
228	3245.72302
229	3240.89017
230	3234.233458
231	3231.667231
232	3229.592041
233	3225.749448
234	3221.676887
235	3218.194432
236	3216.418037
237	3214.692482
238	3211.618074
239	3206.649727
240	3202.660799
241	3199.467613
242	3196.191494
243	3194.745485
244	3191.532206
245	3189.284438
246	3185.753062
247	3183.832434
248	3181.353009
249	3175.823507
250	3172.903925
251	3166.819931
252	3165.651108
253	3164.297993
254	3162.047184
255	3160.271523
256	3157.03921
257	3153.840058
258	3151.008137
259	3147.843306
260	3144.956149
261	3143.273835
262	3138.795185
263	3132.901685
264	3129.522943
265	3123.780801
266	3122.22821
267	3113.450698
268	3109.464814
269	3106.703877
270	3105.75823
271	3103.13168
272	3099.524595
273	3097.342498
274	3090.887606
275	3090.52129
276	3084.559401
277	3081.040095
278	3072.683802
279	3071.050845
280	3064.863278
281	3062.244289
282	3059.086058
283	3056.845367
284	3053.612075
285	3051.133929
286	3048.669201
287	3041.457406
288	3038.638292
289	3035.104069
290	3029.341212
291	3022.948591
292	3020.5497
293	3017.45808
294	3014.888757
295	3009.727967
296	3004.531607
297	3001.20615
298	2996.432007
299	2989.553225
300	2988.128327
301	2984.044344
302	2983.566677
303	2981.247073
304	2976.456351
305	2975.949588
306	2971.981181
307	2969.827099
308	2968.757175
309	2966.364766
310	2963.40565
311	2961.041352
312	2960.460294
313	2956.456449
314	2956.018457
315	2951.095091
316	2945.389932
317	2940.829842
318	2939.706403
319	2937.8131
320	2935.072979
321	2932.915208
322	2932.126284
323	2929.156385
324	2924.670177
325	2921.778783
326	2916.228414
327	2915.012821
328	2910.847194
329	2905.181577
330	2900.228257
331	2894.85802
332	2891.322482
333	2889.057809
334	2884.463549
335	2879.961926
336	2878.978269
337	2878.858687
338	2875.243987
339	2872.954267
340	2869.458934
341	2866.402001
342	2860.253307
343	2857.01023
344	2855.021312
345	2851.278992
346	2848.453566
347	2843.385252
348	2842.117243
349	2838.398118
350	2833.405862
351	2830.873689
352	2828.296748
353	2826.311667
354	2824.66539
355	2820.439107
356	2816.992388
357	2811.677099
358	2807.408082
359	2805.643908
360	2803.404865
361	2801.019189
362	2800.074901
363	2796.049033
364	2791.408824
365	2787.825653
366	2784.285683
367	2780.691972
368	2777.819368
369	2776.672454
370	2775.963095
371	2771.722756
372	2769.299231
373	2767.049131
374	2765.630083
375	2762.818051
376	2760.008266
377	2754.843801
378	2753.905927
379	2749.571774
380	2745.31398
381	2744.712274
382	2742.671705
383	2739.563157
384	2737.277204
385	2734.976789
386	2730.353892
387	2726.522066
388	2724.086854
389	2720.831679
390	2715.495499
391	2711.41773
392	2709.735857
393	2704.493995
394	2702.497904
395	2698.970098
396	2697.231571
397	2695.682687
398	2694.317473
399	2691.542291
400	2687.682721
401	2680.948631
402	2680.134438
403	2676.898781
404	2672.333377
405	2671.250301
406	2665.965024
407	2662.072855
408	2660.487118
409	2657.345763
410	2654.554417
411	2653.535873
412	2647.407233
413	2645.618036
414	2643.439597
415	2642.080222
416	2639.619349
417	2636.777178
418	2633.65297
419	2629.89327
420	2628.114224
421	2627.142847
422	2625.738861
423	2623.269507
424	2621.340567
425	2620.530064
426	2619.68066
427	2619.031755
428	2615.494406
429	2613.738719
430	2612.01422
431	2607.935005
432	2604.875359
433	2603.259927
434	2601.92706
435	2601.068681
436	2598.982577
437	2595.699408
438	2593.976745
439	2593.479843
440	2590.388081
441	2587.21994
442	2585.016008
443	2582.716687
444	2582.000018
445	2579.02749
446	2575.877923
447	2573.747078
448	2570.546632
449	2569.369722
450	2568.128455
451	2566.242292
452	2563.444375
453	2561.458065
454	2558.919565
455	2556.910829
456	2554.555717
457	2550.765173
458	2548.353424
459	2545.599469
460	2543.187742
461	2539.550958
462	2536.555378
463	2534.519723
464	2533.76739
465	2532.340985
466	2530.578953
467	2528.609452
468	2528.502629
469	2524.576998
470	2524.468918
471	2520.725521
472	2518.920063
473	2514.39377
474	2512.626933
475	2511.64419
476	2508.399437
477	2505.288754
478	2504.572059
479	2504.087312
480	2502.101797
481	2499.895442
482	2499.411363
483	2496.843027
484	2493.752693
485	2492.418948
486	2492.383795
487	2490.217825
488	2487.767779
489	2486.213457
490	2484.643106
491	2484.613732
492	2482.688002
493	2480.850762
494	2480.719768
495	2479.644698
496	2476.573584
497	2474.134788
498	2472.728263
499	2469.616683
500	2468.888653
501	2465.006132
502	2463.021835
503	2462.87492
504	2460.090281
505	2457.062992
506	2454.6474
507	2453.927463
508	2451.268849
509	2449.08086
510	2446.445645
511	2445.378026
512	2443.205554
513	2441.882762
514	2437.207246
515	2436.280576
516	2432.050696
517	2428.042349
518	2427.084938
519	2426.068796
520	2423.286989
521	2418.563718
522	2417.098174
523	2415.392341
524	2412.247497
525	2409.570818
526	2408.913221
527	2405.163637
528	2404.341474
529	2403.365185
530	2401.95072
531	2400.217284
532	2397.941633
533	2395.672217
534	2394.784411
535	2394.366715
536	2390.049263
537	2388.686438
538	2387.561939
539	2387.01594
540	2384.687463
541	2383.020561
542	2382.511402
543	2381.346618
544	2379.51631
545	2378.702245
546	2377.030011
547	2375.419657
548	2371.505773
549	2370.016312
550	2368.71784
551	2368.627572
552	2367.978407
553	2365.631126
554	2363.562218
555	2362.101637
556	2360.041128
557	2357.034375
558	2354.307622
559	2352.6894
560	2349.987435
561	2347.613326
562	2343.781665
563	2342.019484
564	2339.727492
565	2335.774948
566	2334.481954
567	2333.318078
568	2332.045247
569	2330.798229
570	2329.859271
571	2327.873528
572	2323.842654
573	2321.881555
574	2318.38827
575	2316.488652
576	2314.072819
577	2312.412057
578	2311.392567
579	2308.699875
580	2306.378413
581	2304.833376
582	2302.86448
583	2301.859058
584	2301.318767
585	2299.863648
586	2298.638156
587	2297.762302
588	2294.996464
589	2293.64031
590	2290.680579
591	2287.824398
592	2286.665005
593	2284.057325
594	2283.04884
595	2280.859784
596	2277.896951
597	2275.333134
598	2274.506009
599	2273.298412
600	2273.23264
601	2271.200247
602	2268.847159
603	2266.532526
604	2263.545134
605	2260.918709
606	2259.135461
607	2257.171811
608	2255.421837
609	2253.47083
610	2250.733076
611	2245.498292
612	2244.909836
613	2240.707792
614	2239.567928
615	2238.429755
616	2236.260738
617	2235.726968
618	2232.117176
619	2231.238762
620	2230.067272
621	2227.801932
622	2225.759439
623	2224.188171
624	2220.378608
625	2219.257153
626	2217.557548
627	2215.77472
628	2214.317354
629	2213.004993
630	2212.054316
631	2211.31667
632	2209.118056
633	2208.834166
634	2208.581082
635	2206.78539
636	2205.557298
637	2204.775588
638	2203.980615
639	2203.086711
640	2202.468321
641	2200.913235
642	2199.107807
643	2195.313421
644	2195.150912
645	2194.157694
646	2193.09222
647	2191.084395
648	2189.316885
649	2189.046832
650	2186.720926
651	2184.905077
652	2182.224881
653	2180.789013
654	2179.87354
655	2177.218337
656	2175.827808
657	2174.349425
658	2172.802195
659	2171.837209
660	2170.152432
661	2169.119409
662	2168.195257
663	2167.819685
664	2167.586049
665	2163.551771
666	2161.607625
667	2160.669601
668	2156.892395
669	2156.195839
670	2155.148017
671	2153.13521
672	2150.02826
673	2146.227267
674	2143.724118
675	2142.518104
676	2140.146326
677	2136.111332
678	2135.630712
679	2133.521748
680	2131.407845
681	2129.035832
682	2128.462355
683	2126.341033
684	2124.245402
685	2122.657037
686	2118.362831
687	2118.268345
688	2114.905421
689	2112.892513
690	2111.408385
691	2110.173373
692	2109.77025
693	2108.003135
694	2106.292394
695	2106.0725
696	2104.617295
697	2103.906439
698	2099.856554
699	2099.550503
700	2099.142342
701	2097.589923
702	2095.98338
703	2092.586993
704	2090.611325
705	2089.798236
706	2087.51277
707	2083.393497
708	2081.351493
709	2079.917177
710	2078.5493
711	2077.871407
712	2077.041265
713	2074.89607
714	2073.340411
715	2071.537524
716	2071.394671
717	2071.291193
718	2070.672205
719	2067.140573
720	2066.058488
721	2065.101292
722	2063.058628
723	2061.507674
724	2061.014625
725	2059.690708
726	2058.700546
727	2057.692188
728	2055.760822
729	2052.635085
730	2051.071211
731	2050.186925
732	2049.063922
733	2047.400706
734	2045.378386
735	2043.45033
736	2042.455451
737	2042.117245
738	2041.910818
739	2040.972276
740	2039.207313
741	2038.655625
742	2035.522031
743	2034.220592
744	2031.419751
745	2029.441774
746	2028.653221
747	2027.006856
748	2026.958441
749	2025.081727
750	2024.019506
751	2022.867682
752	2022.296489
753	2019.074464
754	2017.571748
755	2016.116639
756	2014.664927
757	2013.184335
758	2012.973782
759	2012.937901
760	2011.452727
761	2009.600508
762	2008.667126
763	2007.177875
764	2004.963722
765	2002.997457
766	1999.21344
767	1997.093656
768	1995.600927
769	1992.328266
770	1991.584657
771	1990.033685
772	1989.752748
773	1989.337375
774	1988.469138
775	1987.669728
776	1987.120111
777	1987.025362
778	1985.715732
779	1985.058396
780	1983.468564
781	1979.981524
782	1978.229769
783	1975.683105
784	1975.036737
785	1972.170123
786	1970.389213
787	1969.218445
788	1968.191386
789	1967.114708
790	1963.758941
791	1962.654967
792	1961.946954
793	1961.005913
794	1960.392416
795	1958.259467
796	1956.567198
797	1955.159443
798	1953.422494
799	1951.927651
800	1948.141411
801	1947.926391
802	1946.762261
803	1945.164925
804	1943.350322
805	1942.219468
806	1937.455142
807	1937.112113
808	1936.062169
809	1933.04434
810	1929.419046
811	1925.438669
812	1922.9117
813	1921.615341
814	1919.415367
815	1917.03546
816	1915.989213
817	1914.484665
818	1913.343029
819	1909.751922
820	1907.670588
821	1906.061936
822	1905.219958
823	1905.182993
824	1903.334585
825	1899.175396
826	1897.572219
827	1894.479006
828	1893.510009
829	1893.277463
830	1892.935835
831	1889.178511
832	1888.842115
833	1888.660509
834	1885.966925
835	1884.110782
836	1881.843783
837	1879.738037
838	1879.667214
839	1877.681848
840	1876.80215
841	1876.051323
842	1875.186741
843	1874.000447
844	1872.732035
845	1872.225289
846	1870.651304
847	1869.994726
848	1868.606343
849	1867.829
850	1865.513207
851	1865.270141
852	1864.228057
853	1863.117169
854	1861.138719
855	1860.249813
856	1859.469444
857	1857.357129
858	1855.983485
859	1855.664066
860	1853.669692
861	1853.539969
862	1852.831506
863	1851.907419
864	1848.841474
865	1847.157461
866	1846.436495
867	1845.347046
868	1845.087281
869	1843.772899
870	1842.657806
871	1841.240747
872	1840.480396
873	1839.262821
874	1839.145762
875	1837.149627
876	1835.721962
877	1834.638075
878	1832.738128
879	1831.480208
880	1831.372417
881	1831.206316
882	1830.264747
883	1827.930685
884	1826.431304
885	1826.106205
886	1825.083587
887	1823.353315
888	1820.759226
889	1820.486368
890	1818.40652
891	1816.736351
892	1815.948817
893	1812.78294
894	1810.686533
895	1807.593149
896	1807.408123
897	1804.813905
898	1804.506574
899	1804.373764
900	1804.275993
901	1802.96525
902	1800.452012
903	1799.814458
904	1799.268497
905	1796.567695
906	1795.084587
907	1794.420974
908	1793.128279
909	1791.995002
910	1791.920219
911	1791.682503
912	1790.848093
913	1789.307534
914	1788.551729
915	1787.863086
916	1787.702535
917	1785.814034
918	1782.771094
919	1781.930654
920	1779.538916
921	1779.394429
922	1778.106447
923	1776.906503
924	1776.098028
925	1775.881988
926	1775.315647
927	1774.383981
928	1771.542834
929	1771.434327
930	1770.577806
931	1769.508307
932	1768.805582
933	1767.185518
934	1765.88246
935	1765.293567
936	1765.157105
937	1764.557355
938	1762.984402
939	1762.238202
940	1761.189424
941	1758.973679
942	1756.864688
943	1756.175025
944	1755.531271
945	1754.664959
946	1753.845467
947	1751.857542
948	1750.53034
949	1749.651018
950	1748.785549
951	1747.879041
952	1746.565369
953	1745.630671
954	1744.364835
955	1742.865634
956	1742.445651
957	1740.97882
958	1739.141811
959	1738.615588
960	1738.196715
961	1737.443624
962	1736.527841
963	1735.418485
964	1733.950835
965	1732.9241
966	1732.340319
967	1730.96228
968	1730.824332
969	1729.515489
970	1729.276084
971	1728.75065
972	1728.376349
973	1726.868201
974	1726.723125
975	1726.630473
976	1725.464648
977	1724.847705
978	1724.727406
979	1724.330835
980	1724.138983
981	1723.492003
982	1723.012853
983	1721.668
984	1719.425725
985	1719.340598
986	1718.90974
987	1718.631378
988	1717.838154
989	1716.735853
990	1715.306594
991	1715.229217
992	1714.999997
993	1712.967341
994	1711.448441
995	1708.904504
996	1708.303767
997	1706.47436
998	1705.578637
999	1704.641779
